抑郁症 可我也想要朋友,4617748829438012,给我一枚阿司匹林
"以前一直以为胃疼是躯体化反应，结果可能是胃炎，搞不好还溃疡了，周四还要去做个胃镜
我好像没有做什么伤天害理的事，为何上天要如此对待我抑郁症",4617746232377534,kkkkexxxxi
"抑郁症
为什么在知道我的情况后就逃走了呢
我很可怕吗",4617336961631625,超级超级喜欢吃软糖
抑郁症 10年前被严重家暴过被我舅，到现在整个前面几年因为社交障碍学历障碍人生全毁。最近阶段想自杀有没有同行的。,4617801219966766,摇啊瑶啊摇啊摇啊
抑郁症好像对一切失去了兴趣……,4617961937045724,小傻尘嗷
抑郁症大家有没有看创4呀，我看了之后好喜欢高卿尘，他像一束光一样照亮我的生活，给他做数据打榜也让我又多了一件自己喜欢做的事，希望可以陪他走的久一点,4617964965596862,零与绝对值-
抑郁症慢慢恢复了 情绪在稳定了 愿意出门了 希望大家也能好起来 成都,4617966652491029,-九月-初三-
"抑郁症我要怎么表达我的感受。我表达不出来。也没有表达欲望。
我真的很抱歉，可是你问我为什么会这样我真的答不出来，我也不知道
反正在同学眼里我肯定已经是个疯子了，无所谓爱咋想咋想吧，反正生和死在我这没差别",4617964898749406,Q白昼
抑郁症大家有没有看创4呀，我看了之后好喜欢高卿尘，他像一束光一样照亮我的生活，给他做数据打榜也让我又多了一件自己喜欢做的事，希望可以陪他走的久一点,4617964965596862,零与绝对值-
抑郁症慢慢恢复了 情绪在稳定了 愿意出门了 希望大家也能好起来 成都,4617966652491029,-九月-初三-
"抑郁症好生气啊我好生气
为什么三番两次的在我睡午觉的时候把我叫醒
明知道我睡不够还要这样！",4617966659832519,年渡-
抑郁症我把所有的爱都给了薛思远 只有我的徒劳 他根本没有把我考虑进未来 根本没有。我没有家了 我的家都给你了。薛思远我倾注了我所有所有力所能及的事物。为什么 我从小到大没有做过任何坏事 我对所有人都很好 可是我的一个一个结局都是没有好下场。,4617966940851404,Pts1D8
"抑郁症
这样的日子什么时候到头呀。
太累了。
好想一直一直睡下去。",4617974101574192,好好生活好好学习好好吃药
抑郁症 被他捡起又被他丢下 这次是真的没命了,4617923396897257,go2v·
抑郁症 有没有小伙伴出现情绪失控 愤怒 暴躁的时候出现暴食症，之前自己出现情绪不稳定 只要安静下来转移一下注意力还可以控制住。近段时间经常出现注意力不集中，先是狂躁再到抑郁，心率经常无故的加快，失眠是一直存在的但是醒的越来越早，特别容易暴饮暴食，并不是因为食物有多好吃去吃， ...全文,4615033139233806,鱼小渔_Tiya
抑郁症我来分发好运气球。大家不要抢，一人一个。希望大家都能活好当下的这一秒。,4617532063613858,余晖吟惑
抑郁症昨晚好像提前体验了死亡的感觉,4617801904423181,雪貂饲养员
抑郁症今天过生日啦,4617852244198969,_MissFlora_
抑郁症 干药小能手[加油],4617878017675426,文叁岁-sansui
抑郁症感觉男朋友对我慢慢变得敷衍，然后懒得敷衍，也是跟我这样的人在一起久了也会很累，可能我还是更适合一个人吧。反正都会离开我,4617951442899669,今天馋小赵身子了吗
抑郁症我今天总算是知道了，把我逼到这个程度的有时候不是我自己 而是别人 ，他们所以为的以为，那些自以为是会给我很大的打击 就像今天一样明明我不想休学，我想待在这儿，导员非得把我逼到这一步,4617898851304333,913_Ra
抑郁症 一点都不快乐想放弃,4617883487310616,我是吓大的呀
"抑郁症头脑有它自己的天气系统。虽然你现在身处龙卷风之中，但龙卷风地能量最终会被耗尽的，坚持住。
坚持住啊。づ♡ど",4617840302752650,看不见的城市87706
终于熬成了不想跟任何人说话，也不想去联系谁，烦这个世界的是是非非，就算你说晚上有太阳，我都不想去辩解，我好累,4617921831112039,Zik-雪雪
"怎么办，救救我
自杀的想法越来越强烈了 武汉",4616748375212447,梦见未来CNSA
"抑郁症 今天来协和复诊拿到了量表，说是建议重度症状。还没有见到医生。
也没有想好要不要告诉家人，毕竟家里没人信这个",4616023594501612,小赵要开心起来呀
抑郁症抑郁症请问大家吃舍曲林吃几颗呀？我是重度抑郁重度焦虑医生让我每天吃完早餐吃四颗，可是我觉得都不管用了,4617964353749874,不想吃苦瓜呀
抑郁症有没有朋友跟我一样吃了抗抑郁抗分裂的药然后没有性欲的，好可怕。,4567918539179030,呀么哟雅汀唷
抑郁症 要有失去一切的准备，也要有重新开始的勇气,4617906035362610,凌晨三点落雨
"抑郁症
你们要是急了 会抽自己嘴巴子吗？",4617635709583771,沪上靓哥
抑郁症不知道有没有用，但……送给你们,4617951494013234,是谁的大辰吖
"抑郁症
哎呀
就不该整天想着别人爱不爱自己
就应该搞一个自己爱上自己挑战
每天都要打卡夸自己说自己的优点关心自己
比如
“我今天好好吃饭了我也太棒了！”
“我的耳垂肉肉的好可爱！”
“我的头发在阳光下会发光！”
“我这个字写的可真漂亮！”
“我也太会照顾朋友的情绪了！”
“不知道为 ...全文",4598716315211396,野良子供
"抑郁症
好不容易找到一份工作。。。。离家里路程3小时。。。要做下去还得在外面找房子，还有一周就入职，试用期一个月，本来想一个月忍一忍，等过了试用期再租房子，现在想想真的太远了，租房子短租也不好租。。。家人们我到底该怎么办。。。。。",4617648141505415,WFECTL秦玦明
抑郁症说MECT不痛苦没反应的就不是个人，但打完这无抽搐电休克确实很爽是真的。（还在住院，陆续接受ect，欢迎评论留言） 沈阳,4617913703076435,伏硫西泮
抑郁症 MECT第一次结束 沈阳,4617548298982024,伏硫西泮
